scraped_at,source_url,category_name,league_name,sport_name,match_date,match_time,home_team,away_team,match_status,market_type,selection_name,odds,handicap_or_line,raw_text
2026-04-10T23:23:42-04:00,https://www.sportsplus.ph/sbk/l/339/matches,Basketball,NBA,Basketball,2026-04-10,,Houston Rockets,Minnesota Timberwolves,Q3 01:51,HDP,Houston Rockets,1.90,- 4.5,Houston Rockets Minnesota Timberwolves 99 98 Q3 01:51 21 - 4.5 1.90 + 4.5 1.86
2026-04-10T23:23:42-04:00,https://www.sportsplus.ph/sbk/l/339/matches,Basketball,NBA,Basketball,2026-04-10,,Houston Rockets,Minnesota Timberwolves,Q3 01:51,HDP,Minnesota Timberwolves,1.86,+ 4.5,Houston Rockets Minnesota Timberwolves 99 98 Q3 01:51 21 - 4.5 1.90 + 4.5 1.86
2026-04-10T23:23:42-04:00,https://www.sportsplus.ph/sbk/l/339/matches,Basketball,NBA,Basketball,2026-04-10,,Utah Jazz,Memphis Grizzlies,Q4 05:38,HDP,Utah Jazz,1.89,- 50.5,Utah Jazz Memphis Grizzlies 133 82 Q4 05:38 15 - 50.5 1.89 + 50.5 1.87
2026-04-10T23:23:42-04:00,https://www.sportsplus.ph/sbk/l/339/matches,Basketball,NBA,Basketball,2026-04-10,,Utah Jazz,Memphis Grizzlies,Q4 05:38,HDP,Memphis Grizzlies,1.87,+ 50.5,Utah Jazz Memphis Grizzlies 133 82 Q4 05:38 15 - 50.5 1.89 + 50.5 1.87
2026-04-10T23:23:42-04:00,https://www.sportsplus.ph/sbk/l/339/matches,Basketball,NBA,Basketball,2026-04-10,,Portland Trail Blazers,Los Angeles Clippers,HT 23,HDP,Portland Trail Blazers,1.92,- 7.5,Portland Trail Blazers Los Angeles Clippers 61 51 HT 23 - 7.5 1.92 + 7.5 1.84
2026-04-10T23:23:42-04:00,https://www.sportsplus.ph/sbk/l/339/matches,Basketball,NBA,Basketball,2026-04-10,,Portland Trail Blazers,Los Angeles Clippers,HT 23,HDP,Los Angeles Clippers,1.84,+ 7.5,Portland Trail Blazers Los Angeles Clippers 61 51 HT 23 - 7.5 1.92 + 7.5 1.84
2026-04-10T23:23:42-04:00,https://www.sportsplus.ph/sbk/l/339/matches,Basketball,NBA,Basketball,2026-04-10,,Sacramento Kings,Golden State Warriors,HT 20,HDP,Sacramento Kings,1.90,- 2.5,Sacramento Kings Golden State Warriors 63 51 HT 20 - 2.5 1.90 + 2.5 1.86
2026-04-10T23:23:42-04:00,https://www.sportsplus.ph/sbk/l/339/matches,Basketball,NBA,Basketball,2026-04-10,,Sacramento Kings,Golden State Warriors,HT 20,HDP,Golden State Warriors,1.86,+ 2.5,Sacramento Kings Golden State Warriors 63 51 HT 20 - 2.5 1.90 + 2.5 1.86
2026-04-10T23:23:42-04:00,https://www.sportsplus.ph/sbk/l/339/matches,Basketball,NBA,Basketball,2026-04-10,,Los Angeles Lakers,Phoenix Suns,Q2 06:43,HDP,Los Angeles Lakers,1.80,- 1.5,Los Angeles Lakers Phoenix Suns 37 36 Q2 06:43 28 - 1.5 1.80 + 1.5 1.96
2026-04-10T23:23:42-04:00,https://www.sportsplus.ph/sbk/l/339/matches,Basketball,NBA,Basketball,2026-04-10,,Los Angeles Lakers,Phoenix Suns,Q2 06:43,HDP,Phoenix Suns,1.96,+ 1.5,Los Angeles Lakers Phoenix Suns 37 36 Q2 06:43 28 - 1.5 1.80 + 1.5 1.96
2026-04-10T23:23:42-04:00,https://www.sportsplus.ph/sbk/l/339/matches,Basketball,NBA,Basketball,2026-04-12,18:00,Miami Heat,Atlanta Hawks,Scheduled,HDP,Miami Heat,1.91,+ 5.5,Miami Heat Atlanta Hawks 04/12 (Sun) 18:00 34 + 5.5 1.91 - 5.5 1.95
2026-04-10T23:23:42-04:00,https://www.sportsplus.ph/sbk/l/339/matches,Basketball,NBA,Basketball,2026-04-12,18:00,Miami Heat,Atlanta Hawks,Scheduled,HDP,Atlanta Hawks,1.95,- 5.5,Miami Heat Atlanta Hawks 04/12 (Sun) 18:00 34 + 5.5 1.91 - 5.5 1.95
